BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	LIB_ID	COMP_ID	PLATFORM	RI	MASS	CAS	KEGG	                              Group   HMDB_ID	LT2_1	LT2_2	LT2_3	LT2_4	LT2_5	LT2_6	LT2_7	MYC_1	MYC_2	MYC_3	MYC_4	MYC_5	MYC_6	MYC_7	RAS_1	RAS_2	RAS_3	RAS_4	RAS_5	RAS_6	RAS_7	MYC.RAS_1	MYC.RAS_2	MYC.RAS_3	MYC.RAS_4	MYC.RAS_5	MYC.RAS_6	MYC.RAS_7	MYC.RAS_8	MYC.RAS_9
choline	Lipid	Glycerolipid metabolism	200	15506	LC/MS	674	104.2	67-48-1;	C00114	HMDB00097	"3,960,580"	"3,875,529"	"3,541,859"	"4,433,248"	"3,827,313"	"2,999,535"	"3,328,209"	"2,467,273"	"2,969,420"	"3,209,631"	"3,534,347"	"3,213,762"	"1,843,290"	"1,810,832"	"2,659,432"	"2,667,457"	"2,911,225"	"3,643,484"	"4,261,076"	"3,256,176"	"3,884,868"	"2,810,985"	"3,286,443"	"2,980,819"	"4,095,187"	"2,742,953"	"3,147,267"	"2,220,530"	"2,522,060"	"2,707,816"
choline phosphate	Lipid	Glycerolipid metabolism	200	34396	LC/MS	695	184.1	72556-74-2;	C00588	HMDB01565	"5,428,700"	"5,366,021"	"4,665,424"	"4,459,141"	"4,379,844"	"5,914,327"	"4,706,379"	"1,613,191"	"1,919,403"	"2,543,227"	"2,216,475"	"3,019,162"	"1,211,463"	"1,457,433"	"13,200,002"	"16,261,954"	"11,145,583"	"18,837,336"	"9,348,000"	"10,707,812"	"8,794,056"	"6,410,741"	"5,134,339"	"8,872,328"	"5,344,656"	"16,305,231"	"9,208,681"	"7,311,856"	"2,677,052"	"5,007,216"
cis-aconitate	Energy	Krebs cycle	201	12025	LC/MS	603	173.1	585-84-2;	C00417	HMDB00072		"38,027"	"21,385"	"25,644"	"40,903"	"32,641"	"28,422"	"41,152"	"64,832"	"35,672"	"65,473"	"52,629"	"109,185"	"44,034"	"239,943"	"127,368"	"67,533"	"92,691"	"30,745"	"75,138"	"58,573"	"32,699"	"73,595"	"65,885"	"61,388"	"52,856"	"109,791"	"86,074"	"72,710"	"59,892"
citrate	Energy	Krebs cycle	50	1564	GC/MS	1763.4	273.1	77-92-9;	C00158	HMDB00094	"671,733"	"1,144,105"	"853,803"	"993,165"	"1,473,480"	"1,156,141"	"925,404"	"1,813,795"	"3,154,620"	"2,042,407"	"3,176,996"	"2,087,314"	"5,750,153"	"1,765,693"	"26,252,438"	"8,173,791"	"4,103,165"	"4,518,652"	"1,092,222"	"3,762,252"	"3,200,058"	"1,198,193"	"3,746,039"	"2,759,178"	"2,162,449"	"1,987,070"	"5,163,649"	"3,072,816"	"3,821,390"	"3,060,385"
citrulline	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	200	2132	LC/MS	715	176.1	372-75-8;	C00327	HMDB00904	"169,301"	"208,540"	"143,421"	"127,701"	"187,457"	"310,248"	"251,705"	"128,027"	"137,591"	"74,845"	"106,569"	"81,220"	"72,056"	"53,702"	"224,203"	"241,588"	"164,188"	"280,022"	"386,394"	"190,933"	"221,939"	"117,948"	"192,766"	"176,795"	"155,478"	"123,089"	"153,840"	"117,639"	"97,395"	"106,508"
corticosterone	Lipid	Sterol/Steroid	200	5983	LC/MS	4856	347.2	50-22-6;	C02140	HMDB01547					"39,846"		"49,567"			"105,100"		"82,177"	"66,866"	"69,952"	"100,800"	"147,130"	"44,983"	"111,080"	"51,796"	"28,202"	"40,147"		"63,633"		"126,746"	"85,711"	"86,377"	"94,691"	"120,300"	"89,030"
creatine	Amino acid	Creatine metabolism	200	27718	LC/MS	758	132.1	57-00-1;	C00300	HMDB00064	"1,601,070"	"1,521,462"	"1,215,974"	"1,458,724"	"1,203,822"	"1,285,639"	"1,177,040"	"2,393,193"	"2,042,190"	"2,227,816"	"1,906,816"	"2,042,489"	"2,523,775"	"2,559,272"	"4,433,837"	"4,733,128"	"3,002,454"	"3,535,344"	"3,310,179"	"3,181,332"	"4,099,185"	"2,346,567"	"1,812,523"	"1,957,815"	"2,073,041"	"1,841,453"	"1,930,695"	"1,935,846"	"3,280,466"	"2,506,031"
cysteine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	50	31453	GC/MS	1560.1	218	52-90-4;56-89-3;	C00097	HMDB00574	"2,234,706"	"1,947,870"	"1,853,091"	"2,305,758"	"2,239,399"	"1,911,453"	"2,106,966"	"3,202,223"	"3,714,264"	"4,196,931"	"4,203,936"	"3,253,874"	"4,220,783"	"5,281,718"	"2,247,048"	"3,352,112"	"1,909,323"	"1,785,986"	"2,238,964"	"998,577"	"2,971,198"	"7,662,742"	"19,073,892"	"2,870,673"	"6,965,577"	"3,463,518"	"16,293,843"	"11,973,558"	"13,725,731"	"24,612,624"
cysteine-glutathione disulfide	Amino acid	Glutathione metabolism	200	35159	LC/MS	821	427.1	13081-14-6;		HMDB00656	"1,587,850"	"1,568,900"	"1,265,840"	"2,588,119"	"2,156,619"	"2,020,592"	"2,272,114"	"57,725"	"83,565"	"46,047"	"54,202"	"50,405"	"66,481"	"92,555"	"2,277,033"	"3,485,754"	"1,741,853"	"2,253,182"	"2,198,845"	"877,522"	"2,942,288"	"6,835,905"	"15,248,143"	"2,114,892"	"521,549"	"3,528,331"	"12,063,020"	"8,991,978"	"8,938,812"	"15,284,620"
cytidine	Nucleotide	"Pyrimidine metabolism, cytidine containing"	201	514	LC/MS	1351	242.1	65-46-3;	C00475	HMDB00089	"25,095"	"40,605"	"28,102"	"45,881"	"25,596"	"25,603"	"27,864"	"308,062"	"146,237"	"233,465"	"229,762"	"182,546"	"204,959"	"196,019"	"56,511"	"65,600"	"83,967"	"88,688"	"48,982"	"50,491"	"157,192"	"80,636"	"70,852"	"62,647"	"77,092"	"86,377"	"72,023"	"45,521"	"62,099"	"93,845"
cytidine 5'-diphosphocholine	Lipid	Glycerolipid metabolism	200	34418	LC/MS	777	489.1	33818-15-4;	C00307	HMDB01413	"497,190"	"386,270"	"474,044"	"490,736"	"379,049"	"401,745"	"496,512"	"735,346"	"810,161"	"1,011,564"	"951,454"	"914,774"	"609,668"	"1,261,021"	"146,574"	"398,709"	"298,643"	"297,935"	"86,471"	"389,887"	"77,655"	"1,007,075"	"577,400"	"866,622"	"585,906"	"848,897"	"733,756"	"1,063,780"	"414,527"	"710,085"
cytidine 5'-monophosphate (5'-CMP)	Nucleotide	"Pyrimidine metabolism, cytidine containing"	200	2372	LC/MS	887	324	63-37-6;	C00055	HMDB00095	"156,775"	"154,441"	"72,726"	"190,094"	"156,432"	"112,592"	"158,567"	"285,870"	"232,315"	"145,688"	"267,550"	"140,248"	"357,490"	"380,662"	"147,963"	"86,018"	"181,806"	"161,496"	"93,360"	"284,554"	"134,707"	"275,840"	"338,088"	"261,430"	"204,602"	"254,872"	"176,801"	"167,700"	"310,468"	"352,648"
cytidine-5'-diphosphoethanolamine	Lipid	Glycerolipid metabolism	200	34410	LC/MS	765	447	72842-05-8;	C00570	HMDB01564	"117,236"	"139,584"	"177,941"	"132,804"	"101,376"	"78,964"	"121,149"	"452,601"	"313,777"	"220,628"	"311,997"	"250,476"	"542,047"	"556,954"	"70,503"	"142,044"	"142,063"	"98,127"		"146,150"		"335,189"	"217,437"	"354,225"	"235,304"	"267,228"	"326,916"	"267,954"	"169,658"	"352,963"
cytosine	Nucleotide	"Pyrimidine metabolism, cytidine containing"	50	573	GC/MS	1535.5	254	71-30-7;	C00380	HMDB00630	"16,995"	"44,367"	"9,080"	"20,825"	"23,769"	"24,225"	"24,382"	"245,755"	"94,169"	"54,639"	"123,150"	"60,576"	"119,097"	"85,015"		"36,226"	"38,311"	"84,977"		"27,497"	"45,973"	"26,462"	"47,305"	"61,886"	"27,469"	"29,093"	"52,997"	"49,003"	"43,803"	"71,616"
daidzein	Xenobiotics	Food component/Plant	201	32453	LC/MS	3541	253.1	486-66-8 ;	C10208	HMDB03312	"47,076"	"51,356"	"34,102"	"23,265"	"51,543"	"35,263"	"25,581"											"70,531"		"16,816"	"19,001"	"27,413"	"44,609"	"30,402"			"62,494"	"57,502"		
dehydroascorbate	Cofactors and vitamins	Ascorbate and aldarate metabolism	50	1659	GC/MS	1800	245.1	490-83-5;	C05422	HMDB01264					"35,769"			"103,102"	"59,439"	"85,961"	"109,251"	"59,838"	"42,511"			"36,780"		"35,076"		"119,003"	"57,055"		"64,972"	"87,865"	"42,622"	"57,218"	"67,438"	"56,452"	"72,033"	"49,827"
deoxycarnitine	Lipid	Carnitine metabolism	200	36747	LC/MS	759	146.1	6249-56-5;	C01181	HMDB01161	"329,853"	"269,673"	"210,597"	"189,351"	"202,619"	"161,516"	"139,857"	"450,423"	"195,173"	"572,961"	"485,287"	"491,112"	"549,592"	"467,906"	"469,308"	"597,710"	"247,716"	"745,205"	"179,638"	"192,856"	"229,230"	"143,134"	"192,859"	"261,036"	"265,733"	"310,458"	"271,337"	"258,905"	"106,325"	"299,379"
dihomo-linoleate (20:2n6)	Lipid	Long chain fatty acid	201	17805	LC/MS	5722	307.3	2091-39-6;	C16525		"1,335,224"	"1,267,355"	"2,354,057"	"2,288,275"	"1,339,330"	"1,553,490"	"1,639,888"	"2,937,237"	"3,453,643"	"4,559,863"	"3,319,800"	"3,481,107"	"3,388,629"	"2,644,153"	"3,498,534"	"3,814,581"	"2,055,361"	"3,611,525"	"2,018,544"	"2,985,649"	"5,568,329"	"5,259,623"	"2,924,221"	"2,603,592"	"5,019,109"	"4,120,654"	"6,356,845"	"3,576,794"	"3,824,889"	"6,492,225"
dihomo-linolenate (20:3n3 or n6)	Lipid	Essential fatty acid	201	35718	LC/MS	5600	305.4		C03242	HMDB02925	"2,720,461"	"2,182,393"	"3,323,961"	"3,675,619"	"2,808,638"	"2,093,195"	"2,679,599"	"3,171,268"	"5,319,520"	"6,721,193"	"6,242,852"	"4,704,509"	"6,459,754"	"3,401,653"	"2,601,010"	"3,850,836"	"1,769,843"	"2,788,400"	"2,799,361"	"5,071,308"	"5,328,668"	"8,100,345"	"6,267,063"	"3,654,254"	"9,134,167"	"4,726,639"	"8,041,374"	"5,515,641"	"5,291,048"	"8,038,503"
dihydrobiopterin	Cofactors and vitamins	Folate metabolism	200	35129	LC/MS	1510	240.1	6779-87-9;	"C02953,C00268"	HMDB00038					"55,759"		"42,748"	"57,067"	"35,102"	"46,410"	"91,334"	"16,674"	"73,702"	"84,042"								"18,010"	"64,526"	"21,789"	"32,476"	"33,719"	"98,674"	"91,685"		"37,095"
dihydroxyacetone phosphate (DHAP)	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	50	15522	GC/MS	1737	315.1	102783-56-2;	C00111	HMDB01473	"1,010,289"	"188,032"	"681,298"	"160,778"						"104,132"	"156,466"	"479,132"			"175,294"		"284,153"			"1,090,279"		"711,509"	"376,135"	"1,089,367"		"565,669"	"278,845"	"251,329"	"264,068"	
dimethylarginine (SDMA + ADMA)	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	200	36808	LC/MS	812	203.2		C03626	"HMDB01539,HMDB03334"	"313,082"	"374,141"	"267,285"	"339,664"	"341,784"	"380,030"	"324,095"	"617,540"	"887,993"	"535,184"	"590,944"	"489,455"	"1,084,869"	"1,036,240"	"205,461"	"380,786"	"407,577"	"278,934"	"504,638"	"607,512"	"400,441"	"798,947"	"685,357"	"498,955"	"969,846"	"668,017"	"1,070,773"	"894,203"	"841,537"	"955,318"
dimethylglycine	Amino acid	"Glycine, serine and threonine metabolism"	50	5086	GC/MS	1030	57.9	1118-68-9;	C01026	HMDB00092	"2,753,803"	"1,733,327"	"1,539,520"	"1,123,851"	"2,385,380"	"2,193,105"	"2,511,793"	"183,856"	"676,712"	"760,755"	"623,122"	"805,976"	"326,323"	"441,529"	"536,571"	"969,212"	"327,161"	"612,474"	"774,689"	"539,629"	"435,222"	"1,290,623"	"1,084,408"	"1,007,981"	"618,247"	"1,085,173"	"1,260,351"	"1,050,936"	"311,011"	"663,392"
docosahexaenoate (DHA; 22:6n3)	Lipid	Essential fatty acid	201	19323	LC/MS	5518	327.3	6217-54-5;	C06429	HMDB02183	"6,643,053"	"5,551,560"	"8,939,721"	"11,171,668"	"9,316,636"	"6,546,521"	"9,577,917"	"4,877,517"	"10,855,850"	"5,638,540"	"4,947,078"	"6,699,655"	"6,808,848"	"6,682,837"	"2,947,354"	"7,748,974"	"1,212,198"	"7,805,117"	"5,568,213"	"11,224,170"	"10,064,425"	"11,336,578"	"11,843,065"	"9,067,365"	"8,127,439"	"9,406,445"	"15,828,512"	"10,149,702"	"4,027,239"	"7,853,933"
docosapentaenoate (n3 DPA; 22:5n3)	Lipid	Essential fatty acid	201	32504	LC/MS	5574	329.4	2234-74-4 ;	C16513	HMDB01976	"1,473,546"	"949,194"	"2,683,959"	"2,794,044"	"1,106,908"	"804,752"	"1,518,450"	"198,429"	"916,410"	"240,261"	"164,196"	"422,804"	"574,783"	"514,331"	"683,620"	"1,269,699"	"299,379"	"2,309,364"	"1,270,995"	"1,986,237"	"2,371,092"	"1,631,976"	"1,254,636"	"1,810,521"	"341,263"	"1,613,145"	"2,515,348"	"1,394,393"	"404,950"	"1,643,848"
docosatrienoate (22:3n3)	Lipid	Long chain fatty acid	201	32417	LC/MS	5825	333.4	59708-86-0 ;	C16534	HMDB02823	"43,108"	"48,435"	"85,328"	"36,809"				"189,301"	"90,664"	"257,253"	"135,795"	"128,226"	"240,762"	"144,449"		"66,306"				"134,000"	"124,726"	"101,677"	"106,572"		"303,036"	"102,921"	"112,157"	"124,581"	"91,141"	"70,881"
eicosapentaenoate (EPA; 20:5n3)	Lipid	Essential fatty acid	201	18467	LC/MS	5442	301.3	10-2005-9;10417-94-4;	C06428	HMDB01999	"2,306,084"	"1,819,698"	"3,681,215"	"3,967,360"	"2,668,165"	"2,141,354"	"3,730,131"	"570,247"	"1,311,445"	"861,844"	"829,241"	"1,559,736"	"1,018,839"	"872,691"	"374,502"	"750,863"	"270,442"	"1,591,125"	"1,292,983"	"1,472,297"	"1,363,201"	"1,771,673"	"1,747,641"	"2,328,070"	"898,574"	"2,206,484"	"4,308,840"	"2,099,588"	"340,614"	"1,405,034"
eicosenoate (20:1n9 or 11)	Lipid	Long chain fatty acid	201	33587	LC/MS	5955	309.4			HMDB02231	"1,532,209"	"1,652,315"	"3,001,059"	"3,021,839"	"1,813,086"	"2,097,004"	"1,962,191"	"3,449,726"	"3,667,631"	"4,731,514"	"3,588,670"	"4,005,753"	"3,307,416"	"2,815,193"	"3,759,182"	"3,694,714"	"2,745,452"	"2,598,263"	"2,042,466"	"3,981,518"	"5,266,426"	"6,484,433"	"3,490,146"	"5,003,654"	"5,124,647"	"6,851,139"	"6,603,286"	"3,778,998"	"4,203,968"	"7,641,765"
ergothioneine	Xenobiotics	Food component/Plant 	200	37459	LC/MS	847	230.2	58511-63-0;	C05570	HMDB03045	"547,784"	"741,808"	"2,717,786"	"414,047"	"3,304,194"	"3,288,072"	"3,546,755"	"521,221"	"2,175,348"	"517,102"	"692,473"	"1,154,997"	"856,901"	"1,219,300"	"104,924"	"320,613"	"201,085"	"790,024"	"563,628"	"961,420"	"593,250"	"1,590,502"	"3,121,294"	"3,095,222"	"1,182,028"	"1,325,646"	"1,698,449"	"1,362,355"	"449,718"	"1,594,103"
erythritol	Xenobiotics	"Sugar, sugar substitute, starch"	50	20699	GC/MS	1517.5	217	149-32-6;	C00503	HMDB02994	"190,032"	"205,427"	"169,297"	"159,843"	"116,534"	"155,019"	"161,674"	"99,983"	"95,403"	"108,848"	"117,000"	"76,524"	"119,936"	"157,793"	"1,104,314"	"840,326"	"73,431"	"213,092"	"54,165"	"80,488"	"68,784"	"177,955"	"85,102"	"201,052"	"84,565"	"108,955"	"94,345"	"110,137"	"44,536"	"103,119"
erythronate*	Carbohydrate	Aminosugars metabolism	50	33477	GC/MS	1546.9	292.1	13752-84-6;		HMDB00613	"46,127"	"42,013"	"52,114"	"51,055"	"47,921"	"49,902"	"40,926"	"84,936"	"74,083"	"84,294"	"67,987"	"52,691"	"92,428"	"98,204"	"1,212,144"	"590,769"	"52,383"	"197,544"	"57,054"	"58,711"	"64,459"	"51,898"	"68,982"	"75,300"	"91,499"	"61,416"	"63,579"	"68,202"	"50,236"	"95,804"
erythrose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	50	27722	GC/MS	1428	204	583-50-6;	C01796	HMDB02649	"322,217"	"235,714"	"377,790"	"420,860"	"552,662"	"499,789"	"591,611"	"157,629"	"164,503"	"236,246"	"283,846"	"252,176"	"148,998"	"78,517"	"38,824"	"21,740"	"134,549"	"149,294"	"190,861"	"263,160"	"116,007"	"202,990"	"422,699"	"397,011"	"88,838"	"314,066"	"329,375"	"195,493"	"112,986"	"154,666"
ethanolamine	Lipid	Glycerolipid metabolism	50	1497	GC/MS	1304	174.1	141-43-5;	C00189	HMDB00149	"2,619,723"	"4,702,902"	"2,968,050"	"3,047,356"	"2,167,049"	"1,816,394"	"2,199,285"	"9,563,837"	"9,405,647"	"4,512,260"	"8,464,171"	"4,505,423"	"5,178,548"	"5,743,510"	"1,098,767"	"2,488,120"	"1,926,104"	"3,855,825"	"2,264,536"	"1,700,990"	"2,341,187"	"4,155,357"	"2,599,208"	"2,905,632"	"5,222,517"	"2,155,384"	"2,536,205"	"2,429,610"	"2,437,416"	"3,028,002"
ethyl palmitate	Lipid	"Fatty acid, ester"	50	36798	GC/MS	1882	101.04	628-97-7;			"108,586"	"91,337"	"89,736"	"100,303"		"88,247"	"75,542"	"137,301"	"95,632"	"97,801"	"97,637"	"112,250"	"58,265"	"115,677"	"43,605"	"64,392"		"43,990"	"52,807"	"47,744"	"53,775"	"93,344"	"118,752"	"121,599"	"95,874"	"62,829"	"75,098"	"57,503"	"58,591"	"72,629"
flavin adenine dinucleotide (FAD)	Cofactors and vitamins	Riboflavin metabolism	201	2134	LC/MS	2413	784.1	146-14-5;84366-81-4;	C00016	HMDB01248	"251,258"	"241,740"	"255,860"	"260,262"	"416,048"	"356,483"	"374,810"	"85,100"	"116,510"	"88,314"	"82,461"	"86,522"	"78,549"	"82,800"	"50,729"	"80,489"	"51,978"	"122,138"	"81,384"	"108,552"	"58,024"	"165,315"	"206,269"	"204,448"	"105,812"	"181,085"	"183,149"	"129,488"	"78,169"	"116,178"
fructose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	50	31266	GC/MS	1762.7	204	57-48-7;	C00095	HMDB00660	"6,042,469"	"4,606,616"	"7,705,195"	"5,995,098"	"4,925,222"	"4,272,166"	"4,326,437"	"1,694,625"	"1,797,023"	"2,487,477"	"2,590,877"	"2,392,885"	"1,175,927"	"905,903"	"739,619"	"1,013,164"	"709,121"	"1,026,637"	"1,526,326"	"1,494,115"	"883,145"	"2,845,691"	"2,502,977"	"8,358,363"	"1,012,132"	"4,389,370"	"5,332,567"	"3,551,652"	"516,728"	"1,005,569"
fructose-6-phosphate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	50	12021	GC/MS	1994.9	315.1	103213-47-4;	C05345	HMDB00124	"153,657"	"104,287"	"141,209"	"132,008"	"249,128"	"153,008"	"214,658"	"1,165,519"	"333,215"	"577,073"	"1,959,728"		"661,626"	"649,079"	"965,357"	"291,529"	"1,138,735"	"590,903"	"397,594"	"831,339"	"1,342,737"	"177,617"	"248,264"		"1,508,132"	"189,922"	"573,668"	"211,737"	"1,148,414"	"311,970"
fucose	Carbohydrate	Aminosugars metabolism	50	15821	GC/MS	1682.2	204	2438-80-4;	C00382	HMDB00174	"130,625"		"76,455"	"48,545"	"68,037"	"75,910"		"93,861"	"147,364"	"88,669"		"55,512"	"83,460"	"151,164"	"248,793"	"145,353"	"62,767"	"80,248"	"174,327"	"101,876"	"148,856"	"109,990"	"109,571"		"79,438"	"119,616"		"63,904"	"74,783"	"100,365"
fumarate	Energy	Krebs cycle	50	1643	GC/MS	1382.1	245	100-17-8;	C00122	HMDB00134	"2,104,845"	"1,687,721"	"1,791,064"	"1,949,292"	"3,995,206"	"3,179,211"	"3,169,753"	"3,072,234"	"2,462,046"	"3,360,913"	"2,753,737"	"3,115,002"	"2,027,689"	"3,378,153"	"1,486,962"	"1,440,434"	"1,410,510"	"1,960,145"	"1,526,464"	"3,426,434"	"1,690,589"	"3,894,533"	"3,913,470"	"3,533,748"	"1,711,484"	"3,769,027"	"5,348,126"	"2,969,445"	"2,353,846"	"3,793,687"
gamma-aminobutyrate (GABA)	Amino acid	Glutamate metabolism	50	1416	GC/MS	1539.7	304.1	56-12-2;	C00334	HMDB00112	"369,661"	"509,443"	"470,187"	"259,482"	"510,312"	"524,652"	"492,378"	"195,171"	"421,604"	"156,579"	"79,039"	"210,052"	"85,816"	"167,353"	"33,694"	"84,651"	"69,424"	"363,377"	"246,845"	"107,013"	"107,213"	"441,919"	"363,537"	"333,779"	"434,477"	"187,721"	"311,391"	"366,383"	"381,353"	"433,051"
gamma-glutamylalanine	Peptide	gamma-glutamyl	200	37063	LC/MS	1108	219	5875-41-2;											"31,229"	"31,762"			"86,354"	"142,544"								"385,446"	"616,123"	"33,961"	"394,283"		"490,520"	"720,173"	"714,720"	"918,172"
gamma-glutamylglutamate	Peptide	gamma-glutamyl	200	36738	LC/MS	1036	277.1	1116-22-9;			"475,975"	"443,734"	"502,437"	"500,213"	"491,517"	"468,675"	"432,830"	"54,650"	"69,368"	"47,847"	"79,152"	"47,420"	"198,575"	"281,245"	"154,864"	"203,385"	"188,083"	"140,075"	"195,865"	"235,761"	"153,005"	"1,345,247"	"2,065,614"	"431,849"	"744,747"	"355,408"	"2,118,263"	"2,370,981"	"2,760,887"	"4,151,987"
gamma-glutamylglutamine	Peptide	gamma-glutamyl	200	2730	LC/MS	806	276.1	10148-81-9;		HMDB11738	"35,525"							"40,762"	"94,431"	"76,571"	"85,031"	"59,921"	"228,633"	"300,660"								"520,690"	"1,303,195"	"58,730"	"437,338"		"830,729"	"966,632"	"1,161,716"	"1,460,377"
gamma-glutamylisoleucine*	Peptide	gamma-glutamyl	200	34456	LC/MS	2644	261.2			HMDB11170	"33,339"	"44,263"		"33,381"	"31,684"	"29,624"	"35,469"	"93,123"	"59,045"	"71,973"	"85,072"	"79,447"	"94,946"	"112,830"	"50,074"	"53,361"	"62,545"	"24,638"		"64,470"	"35,547"	"107,856"	"67,813"	"70,403"	"154,810"	"51,462"	"117,753"	"101,364"	"83,415"	"73,247"
gamma-glutamylleucine	Peptide	gamma-glutamyl	200	18369	LC/MS	2744	261.2	2566-39-4;		HMDB11171	"223,774"	"143,348"	"191,172"	"196,784"	"143,219"	"141,967"	"168,263"	"222,632"	"332,457"	"255,074"	"486,040"	"216,905"	"646,549"	"932,780"	"315,748"	"291,304"	"415,898"	"235,151"	"202,500"	"406,566"	"411,601"	"1,084,731"	"1,094,516"	"599,807"	"2,014,503"	"580,280"	"1,532,070"	"1,436,953"	"964,836"	"1,087,507"
gamma-glutamylmethionine	Peptide	gamma-glutamyl	200	37539	LC/MS	1993	279.2	17663-87-5;										"39,516"					"40,995"	"67,991"							"28,308"		"109,008"		"221,757"			"71,444"	"113,825"	"105,302"
gamma-glutamylphenylalanine	Peptide	gamma-glutamyl	200	33422	LC/MS	2846	295.1	7432-24-8;		HMDB00594	"55,334"	"157,416"	"40,976"					"70,396"	"195,386"	"80,949"	"189,797"	"80,578"	"341,117"	"487,045"	"188,855"	"123,982"	"48,091"	"106,701"	"26,504"	"29,953"	"30,395"	"129,953"	"320,719"	"33,567"	"1,223,911"		"324,451"	"404,434"	"422,567"	"482,907"
gamma-glutamylthreonine*	Peptide	gamma-glutamyl	200	33364	LC/MS	977	249.1	5652-48-2;			"248,269"	"169,934"	"202,024"	"140,718"	"92,192"	"52,435"	"52,510"	"128,708"	"119,093"	"99,000"	"188,529"	"95,578"	"396,837"	"467,502"	"93,490"	"57,684"	"219,697"	"40,347"	"65,552"	"176,430"	"208,357"	"158,745"	"343,903"	"271,555"	"444,767"	"210,125"	"446,464"	"552,591"	"259,696"	"242,145"
gamma-glutamyltryptophan	Peptide	gamma-glutamyl	200	33947	LC/MS	3033	334.2	66471-20-3;			"69,146"	"90,422"	"164,445"	"162,947"	"110,080"	"121,850"	"115,951"			"50,275"	"86,110"	"41,888"	"90,866"	"111,636"		"45,538"	"22,174"			"62,022"		"145,753"	"158,626"	"145,773"	"284,035"	"177,698"	"232,613"	"199,359"	"116,602"	"210,269"
gamma-glutamyltyrosine	Peptide	gamma-glutamyl	200	2734	LC/MS	2073	311.2	7432-23-7;			"50,547"			"25,042"	"47,313"			"50,828"	"74,824"	"48,622"	"87,663"	"42,383"	"123,944"	"243,052"	"54,340"	"37,507"		"34,809"		"20,616"	"23,982"	"85,195"	"157,342"		"586,054"		"177,345"	"189,703"	"271,950"	"287,966"
gamma-glutamylvaline	Peptide	gamma-glutamyl	200	32393	LC/MS	2040	247.2	2746-34-1;		HMDB11172	"108,138"	"96,885"	"137,562"	"187,833"	"112,622"	"76,126"	"84,204"	"156,865"	"108,548"	"103,154"	"164,237"	"103,789"	"114,385"	"228,116"	"177,581"	"195,193"	"214,618"	"49,770"	"74,486"	"194,445"	"155,691"	"475,123"	"247,936"	"275,396"	"377,404"	"250,345"	"506,948"	"624,776"	"354,337"	"340,994"
gluconate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	50	587	GC/MS	1879.4	333	527-07-1;	C00257	HMDB00625	"390,298"	"293,781"	"278,399"	"248,223"	"344,636"	"354,104"	"411,076"	"965,754"	"467,168"	"531,743"	"1,088,738"	"332,853"	"426,338"	"310,665"	"70,190"	"105,104"	"70,368"	"88,321"	"204,968"	"157,627"	"104,232"	"348,162"	"291,306"	"523,886"	"59,421"	"406,665"	"253,749"	"286,735"	"175,485"	"194,704"
glucose	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	50	20488	GC/MS	1866.8	217.1	50-99-7;	C00293	HMDB00122	"506,353,568"	"488,048,576"	"487,122,720"	"460,406,784"	"366,032,352"	"395,477,024"	"409,948,384"	"83,000,968"	"88,950,824"	"116,476,528"	"104,465,296"	"122,669,408"	"43,592,912"	"31,154,324"	"12,291,544"	"12,400,478"	"54,537,664"	"86,308,624"	"139,809,728"	"123,411,128"	"51,894,076"	"158,554,080"	"172,810,960"	"372,947,936"	"25,470,544"	"266,183,264"	"235,659,232"	"190,293,328"	"43,250,516"	"40,137,140"
glucose-6-phosphate (G6P)	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	50	37256	GC/MS	2042.7	204.1	103192-55-8;	C00668	HMDB01401	"472,680"	"636,651"	"486,230"	"556,925"	"1,388,904"	"1,173,718"	"1,027,996"	"7,498,774"	"2,036,815"	"4,314,456"	"9,156,382"	"7,720,709"	"5,252,443"	"3,398,419"	"6,689,466"	"1,239,603"	"6,379,385"	"3,513,619"	"2,508,379"	"4,107,686"	"8,025,603"	"523,115"	"1,086,303"	"765,635"	"6,767,863"	"608,976"	"2,270,653"	"1,179,751"	"5,982,270"	"1,936,538"
glucuronate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	50	15443	GC/MS	1886.5	217	207300-70-7;	C00191	HMDB00127	"842,514"	"717,611"	"1,652,671"	"901,715"	"2,166,136"	"2,028,965"	"1,970,982"	"459,803"	"809,450"	"449,927"	"496,813"	"406,009"	"462,798"	"629,292"	"894,073"	"796,977"	"355,135"	"538,057"	"424,078"	"487,855"	"350,248"	"700,977"	"914,183"	"506,162"	"505,412"	"490,260"	"1,296,125"	"733,291"	"679,836"	"1,250,144"
